	NG.16677_M53_iso_preg_placenta_lib271061_6029_8_1	NG.16677_M55_aly6g_preg_placenta_lib271064_6029_8_1	NG.16677_M56_aly6g_preg_placenta_lib280131_6085_1_1	NG.16677_M62_iso_preg_placenta_lib271062_6029_4_1	NG.16677_M63_aly6g_preg_placenta_lib280132_6085_1_1	NG.16677_M65_iso_preg_placenta_lib280130_6085_1_1	gene_name	ENSEMBL.tag
ENSMUSG00000041264	674	622.999	887.343	702	990.001	1009.999	ubiquitin specific peptidase like 1	Uspl1
ENSMUSG00000041268	859.276	446.061	952.141	637.039	1188.269	1361.263	Dmx-like 2	Dmxl2
ENSMUSG00000041272	6	2	30.001	9	25	23.987	thymocyte selection-associated high mobility group box	Tox
ENSMUSG00000041278	554	696	842	646	777	866	tetratricopeptide repeat domain 1	Ttc1
ENSMUSG00000041287	208	276	356	256	328	215	SRY (sex determining region Y)-box 15	Sox15
ENSMUSG00000041293	6	5	10	20	9	17	adhesion G protein-coupled receptor F1	Adgrf1
ENSMUSG00000041297	1255.001	994	1624.062	1039	1958.059	1874	cyclin-dependent kinase 13	Cdk13
ENSMUSG00000041298	240.811	180.498	265.014	215.741	269.571	384.433	katanin p60 subunit A-like 1	Katnal1
ENSMUSG00000041301	12	9	8	12	28	9	cystic fibrosis transmembrane conductance regulator	Cftr
ENSMUSG00000041303	490	401	604	504.81	681	704.87	general transcription factor IIIC, polypeptide 3	Gtf3c3
ENSMUSG00000041308	245.414	121.584	295.094	226.113	494.411	343.678	syntrophin, basic 2	Sntb2
ENSMUSG00000041309	7	8	21	10	25	17	NK6 homeobox 2	Nkx6-2
ENSMUSG00000041313	3315.816	788	2100.045	1560.247	3139.456	2732.634	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	Slc7a1
ENSMUSG00000041319	187	265.001	259.001	228	284.001	317.999	THO complex 6	Thoc6
ENSMUSG00000041323	118.062	113.074	162.837	80.546	129.09	121.027	adenylate kinase 7	Ak7
ENSMUSG00000041324	3646.87	1210.088	5879.356	2562.092	6071.904	6823.64	inhibin beta-A	Inhba
ENSMUSG00000041328	622.999	500.001	834	568	889	936.999	PCF11 cleavage and polyadenylation factor subunit	Pcf11
ENSMUSG00000041329	21	15	25	11	19	28	ATPase, Na+/K+ transporting, beta 2 polypeptide	Atp1b2
ENSMUSG00000041333	0	0	0	0	0	0	major urinary protein 4	Mup4
ENSMUSG00000041341	1124.697	716.683	1252.145	875.733	1466.725	1470.499	autophagy related 2B	Atg2b
ENSMUSG00000041343	74	94.001	95	80	113	111.003	ankyrin repeat domain 42	Ankrd42
ENSMUSG00000041346	107	154	180	154	185	171	WD repeat containing, antisense to Trp53	Wrap53
ENSMUSG00000041347	9	4	6	2	7	2	bradykinin receptor, beta 1	Bdkrb1
ENSMUSG00000041351	2201.999	2132.999	3961	1778	3528	2265.999	Rap1 GTPase-activating protein	Rap1gap
ENSMUSG00000041353	92	125	172	154	123	211	transmembrane protein 29	Tmem29
ENSMUSG00000041354	733	702.001	922	636	898.001	1102	ral guanine nucleotide dissociation stimulator-like 2	Rgl2
ENSMUSG00000041355	8502	9114	13185	8915.001	11511.001	11973.999	signal sequence receptor, beta	Ssr2
ENSMUSG00000041358	0	0	0	1	1	2	NUT midline carcinoma, family member 1	Nutm1
ENSMUSG00000041359	1	0	0	0	0	0	T cell lymphoma breakpoint 1	Tcl1
ENSMUSG00000041360	907	1077.26	1233.001	968	1376	1308.001	pumilio RNA-binding family member 3	Pum3
ENSMUSG00000041361	190.013	194	298.011	225.002	376.003	326.748	myocardial zonula adherens protein	Myzap
ENSMUSG00000041362	602	484	773	676	939	948	shootin 1	Shtn1
ENSMUSG00000041372	34	12	39	28	37	30	beta-1,4-N-acetyl-galactosaminyl transferase 3	B4galnt3
ENSMUSG00000041375	545	585	810	496.999	783.999	663	coiled-coil domain containing 9	Ccdc9
ENSMUSG00000041377	12	10	1	7	8	7	ninjurin 2	Ninj2
ENSMUSG00000041378	335	245	288	418	771	457	claudin 5	Cldn5
ENSMUSG00000041380	0	0	1	0	0	0	5-hydroxytryptamine (serotonin) receptor 2C	Htr2c
ENSMUSG00000041390	718	441	839.001	560	946.001	827.001	MyoD family inhibitor domain containing	Mdfic
ENSMUSG00000041396	82	100	115	74	93	114	methyltransferase like 18	Mettl18
ENSMUSG00000041399	0	1	1	0	0	0	RIKEN cDNA 1700013G24 gene	1700013G24Rik
ENSMUSG00000041406	94	128	135.186	153.001	245	174	cDNA sequence BC055324	BC055324
ENSMUSG00000041408	2532.816	2025.47	3275.494	2296.629	3852.668	3792.795	WAPL cohesin release factor	Wapl
ENSMUSG00000041415	986.129	723.972	1093.05	857.702	1547.85	1489.903	dicer 1, ribonuclease type III	Dicer1
ENSMUSG00000041417	1152.654	814.874	1092.952	906.202	1385.414	1837.373	phosphoinositide-3-kinase regulatory subunit 1	Pik3r1
ENSMUSG00000041420	115	97	126	85.999	144	150.001	Meis homeobox 3	Meis3
ENSMUSG00000041423	27.001	20	3	3	1	12	progestin and adipoQ receptor family member VI	Paqr6
ENSMUSG00000041426	340.713	404.06	499.723	445.11	460.074	508.157	3-hydroxyisobutyryl-Coenzyme A hydrolase	Hibch
ENSMUSG00000041429	98	136	119.001	91	95	129	nth (endonuclease III)-like 1 (E.coli)	Nthl1
ENSMUSG00000041431	349.598	429.796	449.269	648	665.2	721.845	cyclin B1	Ccnb1
ENSMUSG00000041438	434	598	632	579	737	660	UTP4 small subunit processome component	Utp4
ENSMUSG00000041439	166	110	175	149	214	385	major facilitator superfamily domain containing 6	Mfsd6
ENSMUSG00000041440	464	193.948	496.709	295	596.995	550.094	glycerol kinase 5 (putative)	Gk5
ENSMUSG00000041444	335	147	175	214.002	324	566.935	Rho GTPase activating protein 32	Arhgap32
ENSMUSG00000041445	107	50	101	78	153	84	multimerin 2	Mmrn2
ENSMUSG00000041453	2318.26	3955.679	4194.622	2890.526	3602.802	3925.068	ribosomal protein L21	Rpl21
ENSMUSG00000041459	2464.999	3207	3914.998	3419	4558	4638	TAR DNA binding protein	Tardbp
ENSMUSG00000041460	1.977	1	8.004	0	3.35	2.264	calcium channel, voltage-dependent, alpha 2/delta subunit 4	Cacna2d4
ENSMUSG00000041468	1	1	1	1	0	9	G-protein coupled receptor 12	Gpr12
ENSMUSG00000041471	219.018	216.027	302.033	243.008	263.237	329.094	shieldin complex subunit 2	Shld2
ENSMUSG00000041476	23	39	153	50	64.001	50	small muscle protein, X-linked	Smpx
ENSMUSG00000041477	70	47	68	68	77	96.999	decapping mRNA 1B	Dcp1b
ENSMUSG00000041479	3.751	6.527	13.078	21.951	13.955	9.992	synaptotagmin XV	Syt15
ENSMUSG00000041481	10.725	17	41.721	23.276	19.879	20.186	serine (or cysteine) peptidase inhibitor, clade A, member 3G	Serpina3g
ENSMUSG00000041482	122	81.001	143.001	111.999	206	113.999	piezo-type mechanosensitive ion channel component 2	Piezo2
ENSMUSG00000041483	331	266	408	297	418	558	zinc finger protein 281	Zfp281
ENSMUSG00000041488	1528	1341	1539	1761	1958	3649	syntaxin 3	Stx3
ENSMUSG00000041491	129	159.148	170.851	119.042	152.292	201.757	centrosomal protein 78	Cep78
ENSMUSG00000041498	32	38	23	45	57.001	66	kinesin family member 14	Kif14
ENSMUSG00000041505	0	0	0	0	0	0	predicted gene 3402	Gm3402
ENSMUSG00000041506	286	372	402	294.999	415	364	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein	Rrp9
ENSMUSG00000041515	808	926	1361.001	693	1134	783	interferon regulatory factor 8	Irf8
ENSMUSG00000041523	24	16	2	2	3	12	uroplakin 2	Upk2
ENSMUSG00000041528	336	308.026	348.999	266	377.019	505.001	ring finger protein 123	Rnf123
ENSMUSG00000041530	265.251	141.738	267.472	186.731	396.5	498.975	argonaute RISC catalytic subunit 1	Ago1
ENSMUSG00000041534	2	0	0	0	0	0	retinol binding protein 3, interstitial	Rbp3
ENSMUSG00000041536	2	2	0	7	2	15.225	serine (or cysteine) peptidase inhibitor, clade A, member 3A	Serpina3a
ENSMUSG00000041538	5	13	8	4	8	10	histocompatibility 2, O region beta locus	H2-Ob
ENSMUSG00000041540	114	68	154	162	165	277	SRY (sex determining region Y)-box 5	Sox5
ENSMUSG00000041544	1	0	0	1	1	0	dispatched RND transporter family member 3	Disp3
ENSMUSG00000041548	2101	2025	3476	2676	5089	3489	heat shock protein 8	Hspb8
ENSMUSG00000041550	59	36	31	85	6	311	serine (or cysteine) peptidase inhibitor, clade A, member 5	Serpina5
ENSMUSG00000041552	0	0	0	0	4	1	patched domain containing 1	Ptchd1
ENSMUSG00000041556	36	30	57	52	35	32	F-box protein 2	Fbxo2
ENSMUSG00000041559	307	120	141	549	106	708	fibromodulin	Fmod
ENSMUSG00000041560	1617.35	1987.002	2686.277	1826.653	2513.719	2462.35	NOP53 ribosome biogenesis factor	Nop53
ENSMUSG00000041565	10	1	10	12	19	15	L3MBTL4 histone methyl-lysine binding protein	L3mbtl4
ENSMUSG00000041566	2	0	0	0	1	0	testis-specific serine kinase 1	Tssk1
ENSMUSG00000041567	3	3	3	10	5	16	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12	Serpina12
ENSMUSG00000041570	930	475	923	709	1341	1274	calmodulin regulated spectrin-associated protein family, member 2	Camsap2
ENSMUSG00000041571	1376	2287	2163	2085	1811	2475	selenoprotein W	Selenow
ENSMUSG00000041577	257	187	683.948	547	715	1001	proline arginine-rich end leucine-rich repeat	Prelp
ENSMUSG00000041578	1	2	0	1	4.081	0	cone-rod homeobox	Crx
ENSMUSG00000041583	0	1	0	0	0	0	oocyte specific homeobox 6	Obox6
ENSMUSG00000041592	476.667	263.404	493.79	344.002	642.54	415	sidekick cell adhesion molecule 2	Sdk2
ENSMUSG00000041594	126.001	91.999	159	145.999	166.001	202.001	transmembrane and tetratricopeptide repeat containing 4	Tmtc4
ENSMUSG00000041598	1807	1739	3115.999	1632	3097.999	2639	CDC42 effector protein (Rho GTPase binding) 4	Cdc42ep4
ENSMUSG00000041605	268	190	214	347	110	757	innate immunity activator	Inava
ENSMUSG00000041607	537.843	311.36	630.119	439.081	618.248	952.293	myelin basic protein	Mbp
ENSMUSG00000041608	66	21	37	49	23	144	ectonucleoside triphosphate diphosphohydrolase 3	Entpd3
ENSMUSG00000041609	1036	697	1238	777.002	1610	1378	BICD family like cargo adaptor 1	Bicdl1
ENSMUSG00000041616	1	2	1	1	0	3	natriuretic peptide type A	Nppa
ENSMUSG00000041617	3	2	4	2	3	4	coiled-coil domain containing 74A	Ccdc74a
ENSMUSG00000041620	39.218	19.078	55.201	41.512	43.12	54.367	matrix metallopeptidase 1b (interstitial collagenase)	Mmp1b
ENSMUSG00000041623	204.001	291	360	279	383	350	DNA segment, Chr 11, Wayne State University 47, expressed	D11Wsu47e
ENSMUSG00000041624	7	2	10.606	1.168	0	4.301	guanylate cyclase 1, soluble, alpha 2	Gucy1a2
ENSMUSG00000041625	95	124	78	167	89	320	gamma-glutamylamine cyclotransferase	Ggact
ENSMUSG00000041629	927.859	1142.329	1345.389	1115.46	1351.889	1343.687	family with sequence similarity 104, member A	Fam104a
ENSMUSG00000041632	408	518	629	433	633.978	609	mitochondrial ribosomal protein S27	Mrps27
ENSMUSG00000041633	278.607	201.229	293.081	162.826	292.569	275.707	potassium channel tetramerisation domain containing 12b	Kctd12b
ENSMUSG00000041638	1074.158	609.652	1244.884	988.386	1881.291	1624.942	GCN1 activator of EIF2AK4	Gcn1
ENSMUSG00000041642	202	111.999	211	149	446	341	kinesin family member 21B	Kif21b
ENSMUSG00000041644	0	1	0	0	0	0	solute carrier family 5 (sodium/glucose cotransporter), member 12	Slc5a12
ENSMUSG00000041645	1433.999	1624	2042.029	1444.799	2281.542	2227.003	DEAD box helicase 24	Ddx24
ENSMUSG00000041649	650	410	878	436	840	652	Kruppel-like factor 8	Klf8
ENSMUSG00000041650	317.001	280	344.999	310	411	414.913	propionyl-Coenzyme A carboxylase, alpha polypeptide	Pcca
ENSMUSG00000041653	45.135	42.217	68.592	31.882	53.068	37.873	patatin-like phospholipase domain containing 3	Pnpla3
ENSMUSG00000041654	437.001	319	538.999	450	729.001	649	solute carrier family 39 (metal ion transporter), member 11	Slc39a11
ENSMUSG00000041658	7	5	4	22	5	30	Ras-related GTP binding B	Rragb
ENSMUSG00000041660	49	46	30	72	1	107	butyrobetaine (gamma), 2-oxoglutarate dioxygenase 1 (gamma-butyrobetaine hydroxylase)	Bbox1
ENSMUSG00000041669	2	1	2	3	1	1	proline rich membrane anchor 1	Prima1
ENSMUSG00000041670	0	0	0	2.947	0	1.277	regulating synaptic membrane exocytosis 1	Rims1
ENSMUSG00000041671	243.001	261	300.001	237	321.507	371.606	pyridine nucleotide-disulphide oxidoreductase domain 1	Pyroxd1
ENSMUSG00000041673	19	26	51	17	29	21	leucine rich repeat containing 18	Lrrc18
ENSMUSG00000041679	53.001	33	56	45	69	70	leucine rich repeat containing 29	Lrrc29
ENSMUSG00000041681	0	0	0	0	0	0	islet amyloid polypeptide	Iapp
ENSMUSG00000041684	459.001	421	591	466	614.999	682.999	basic, immunoglobulin-like variable motif containing	Bivm
ENSMUSG00000041685	1399.154	914.019	1612.387	1226.689	1683.527	2594.637	FCH domain only 2	Fcho2
ENSMUSG00000041688	4914.373	1881	3351.001	2792.001	5392.855	6181.203	angiomotin	Amot
ENSMUSG00000041695	23.005	12.007	20.003	15	34.008	28.004	potassium inwardly-rectifying channel, subfamily J, member 2	Kcnj2
ENSMUSG00000041696	108.669	97.032	109.942	115	42	299	RAS-like, family 12	Rasl12
ENSMUSG00000041697	3260.989	4384.543	5833.684	4540.873	4865.018	5312.295	cytochrome c oxidase subunit 6A1	Cox6a1
ENSMUSG00000041698	1.123	1	0	0	0	0	solute carrier organic anion transporter family, member 1a1	Slco1a1
ENSMUSG00000041700	0	0	0	0	0	0	lipoma HMGIC fusion partner-like 1	Lhfpl1
ENSMUSG00000041702	1026.21	359.024	969.425	878.508	1618.773	1518.594	BTB (POZ) domain containing 7	Btbd7
ENSMUSG00000041703	31	23	49	28.874	50	26	zinc finger protein of the cerebellum 5	Zic5
ENSMUSG00000041707	28	23	24	36	37	22	transmembrane protein 273	Tmem273
ENSMUSG00000041708	0	0	1	1	1	0	metallophosphoesterase domain containing 1	Mpped1
ENSMUSG00000041710	1.207	2.038	0	0	0	0	transient receptor potential cation channel, subfamily C, member 5	Trpc5
ENSMUSG00000041712	865	781	1217	909	1429	1399	ubiquitin protein ligase E3 component n-recognin 7 (putative)	Ubr7
ENSMUSG00000041716	246.586	258.09	448.096	270.145	365.38	457.624	predicted gene 20604	Gm20604
ENSMUSG00000041718	123	126.999	201	148.999	156.906	155.999	asparagine-linked glycosylation 13	Alg13
ENSMUSG00000041720	843.071	739.013	1008.001	846.06	1244.06	1597.93	phosphatidylinositol 4-kinase alpha	Pi4ka
ENSMUSG00000041722	13.35	13.209	0	8.713	11.281	16.678	KH domain containing 1C	Khdc1c
ENSMUSG00000041729	93	70	109	82	94	96	coronin, actin binding protein, 2B	Coro2b
ENSMUSG00000041730	0	1.001	0	3.002	0	0	paired related homeobox protein-like 1	Prrxl1
ENSMUSG00000041731	11	5	5	3	12	6	phosphoglucomutase 5	Pgm5
ENSMUSG00000041733	586	690	774	597	758	801	coenzyme Q5 methyltransferase	Coq5
ENSMUSG00000041734	711	278	583	698	1314	1056	kirre like nephrin family adhesion molecule 1	Kirrel
ENSMUSG00000041735	0	0	0	0	0	0	AADACL4 family member 3	AAdacl4fm3
ENSMUSG00000041736	632	917	1131	1072	1273	941	translocator protein	Tspo
ENSMUSG00000041737	31.098	31.207	56.034	61.642	65.333	75.019	transmembrane protein 45b	Tmem45b
ENSMUSG00000041740	4012	4188.001	5702	4133	5703.999	5342	ring finger protein 10	Rnf10
ENSMUSG00000041741	265.008	131.18	221.2	292.018	327.011	597.446	phosphodiesterase 3A, cGMP inhibited	Pde3a
ENSMUSG00000041747	468	431	598	496	738	743	UTP15 small subunit processome component	Utp15
ENSMUSG00000041754	0	2	8	0	3	2	triggering receptor expressed on myeloid cells 3	Trem3
ENSMUSG00000041757	1765.001	1294.999	1677.998	1490.999	2930.998	2265	pleckstrin homology domain containing, family A member 6	Plekha6
ENSMUSG00000041762	146	40	112	97	85.999	347	G protein-coupled receptor 155	Gpr155
ENSMUSG00000041763	1950.046	1777.076	2498.082	1534.028	2841.988	2686.022	tripeptidyl peptidase II	Tpp2
ENSMUSG00000041765	1117	886	1371	1154	1813	1706	ubiquitin associated domain containing 2	Ubac2
ENSMUSG00000041769	858.986	1027.993	1392.89	1069.019	1313.04	1437.006	protein phosphatase 2, regulatory subunit B, delta	Ppp2r2d
ENSMUSG00000041771	3.004	4	0	3	5	8	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4	Slc24a4
ENSMUSG00000041773	604	466	709	645	883	892	ectodermal-neural cortex 1	Enc1
ENSMUSG00000041774	120	150.001	176.999	127.001	214	224	YdjC homolog (bacterial)	Ydjc
ENSMUSG00000041775	111	87	116	122	109	177	mitogen-activated protein kinase 1 interacting protein 1	Mapk1ip1
ENSMUSG00000041777	437.868	441.08	683.36	394.276	543.711	681.777	corepressor interacting with RBPJ, 1	Cir1
ENSMUSG00000041779	2289	846	2361	1497	3093	2442	translocating chain-associating membrane protein 2	Tram2
ENSMUSG00000041781	667	586	907	700	1023	1007	cleavage and polyadenylation specific factor 2	Cpsf2
ENSMUSG00000041782	1436	1903	1801	1362	1980	2247	ladinin	Lad1
ENSMUSG00000041791	0	0	0	0	0	0	capping protein (actin filament) muscle Z-line, alpha 3	Capza3
ENSMUSG00000041794	76.214	93	102.112	86	158.022	101.089	myosin VIIA and Rab interacting protein	Myrip
ENSMUSG00000041797	35	30	24	36	29	56	ATP-binding cassette, sub-family A (ABC1), member 9	Abca9
ENSMUSG00000041798	16	22	21	11	18	20	glucokinase	Gck
ENSMUSG00000041801	406	388	644	456	721	696	pleckstrin homology like domain, family A, member 3	Phlda3
ENSMUSG00000041805	27	17	30	13	26	25	PRAME like 1	Pramel1
ENSMUSG00000041809	56	111	164	101	83	109	EF-hand domain (C-terminal) containing 1	Efhc1
ENSMUSG00000041815	3414.003	3045.008	4333.003	3290.999	5521.02	4786.006	polymerase (DNA-directed), delta interacting protein 3	Poldip3
ENSMUSG00000041817	176.018	135	185	252	293.018	386	family with sequence similarity 169, member A	Fam169a
ENSMUSG00000041827	61	42.999	128	74	70	106	2'-5' oligoadenylate synthetase-like 1	Oasl1
ENSMUSG00000041828	12	2	13	10	5	31.275	ATP-binding cassette, sub-family A (ABC1), member 8a	Abca8a
ENSMUSG00000041831	11	25	30	44	12	57.899	synaptotagmin-like 3	Sytl3
ENSMUSG00000041836	321.375	252.339	391.548	291.621	596.248	328.494	protein tyrosine phosphatase, receptor type, E	Ptpre
ENSMUSG00000041837	443	437	601	465	734	632	programmed cell death 7	Pdcd7
ENSMUSG00000041840	178.837	298.336	286.814	374.609	277.02	335.842	HAUS augmin-like complex, subunit 1	Haus1
ENSMUSG00000041841	1704.62	2978.663	3907.947	2856.444	3053.727	3164.598	ribosomal protein L37	Rpl37
ENSMUSG00000041842	1077	991	1034	1155	1815.999	1587.001	FH2 domain containing 1	Fhdc1
ENSMUSG00000041845	243	263.001	348	371.001	372	478.999	ras homolog family member D	Rhod
ENSMUSG00000041846	1133	893	1423	1186.999	1730.08	1713.082	protein phosphatase 4 regulatory subunit 3A	Ppp4r3a
ENSMUSG00000041849	113	65.096	143	83	129	148	caspase recruitment domain family, member 6	Card6
ENSMUSG00000041852	1577.996	1181.908	2018.403	1349	2662.984	2092.982	transcription factor 20	Tcf20
ENSMUSG00000041857	4	5	0	0	1	2	oocyte secreted protein 1	Oosp1
ENSMUSG00000041859	329	480	426	545	727	614	minichromosome maintenance complex component 3	Mcm3
ENSMUSG00000041870	3946	3666	4894	4061.999	7740	5643.999	ankyrin repeat domain 13a	Ankrd13a
ENSMUSG00000041872	1	1.48	0	2	0	0	interleukin 17F	Il17f
ENSMUSG00000041879	972.999	865	1238	1023	1553.999	1449	importin 9	Ipo9
ENSMUSG00000041881	929.999	1564.999	1832.002	1718.999	1329.999	1772.999	NADH:ubiquinone oxidoreductase subunit A7	Ndufa7
ENSMUSG00000041885	0	0	0	0	0	0	NA	NA
ENSMUSG00000041886	18.039	16.005	4.111	6	5	12.045	metastasis associated in colon cancer 1	Macc1
ENSMUSG00000041889	52	54	95	97	152	83	shisa family member 4	Shisa4
ENSMUSG00000041890	2921.721	3332.859	3669.598	2636.071	4463.366	3540.968	GIT ArfGAP 2	Git2
ENSMUSG00000041891	4648	2333	6004.999	3950.001	6165	6940	lectin, mannose-binding, 1	Lman1
ENSMUSG00000041895	605	453	792	676	989	1118	WD repeat domain, phosphoinositide interacting 1	Wipi1
ENSMUSG00000041907	1	0	0	0	3	0	G protein-coupled receptor 45	Gpr45
ENSMUSG00000041911	1	1	1	1	1	1	distal-less homeobox 1	Dlx1
ENSMUSG00000041912	89.18	112.431	124.303	109.08	122.552	222.693	tudor and KH domain containing protein	Tdrkh
ENSMUSG00000041915	639.001	403	769	619.982	1024.999	974.99	AMME chromosomal region gene 1-like	Ammecr1l
ENSMUSG00000041920	906.001	471	1022.3	761	1154.999	1347.408	solute carrier family 16 (monocarboxylic acid transporters), member 6	Slc16a6
ENSMUSG00000041921	127.99	125.738	196.001	128.999	204	162.001	methionyl aminopeptidase type 1D (mitochondrial)	Metap1d
ENSMUSG00000041923	35.999	23	55	24	38.999	29	nucleolar protein 4	Nol4
ENSMUSG00000041926	735.517	928.632	987.108	923.439	1146.233	1577.573	arginyl aminopeptidase (aminopeptidase B)	Rnpep
ENSMUSG00000041930	11	10	16	33	11	57	family with sequence similarity 222, member A	Fam222a
ENSMUSG00000041935	1282.254	732.081	1413	1187.254	1699	2066	expressed sequence AW549877	AW549877
ENSMUSG00000041936	1510	401	1204	1093.999	1463	3023	agrin	Agrn
ENSMUSG00000041939	213.001	360	335.001	308	370.001	488.05	mevalonate kinase	Mvk
ENSMUSG00000041945	184	90.993	157	128	260	216.997	major facilitator superfamily domain containing 9	Mfsd9
ENSMUSG00000041949	70	69	101	82	121	126	transport and golgi organization 6	Tango6
ENSMUSG00000041954	19	43	39.999	28	38.001	38	tumor necrosis factor receptor superfamily, member 18	Tnfrsf18
ENSMUSG00000041957	3132	3639.001	4792	3123	5272	4606	plakophilin 2	Pkp2
ENSMUSG00000041958	1594	1044	2046	1492	2180	2285	phosphatidylinositol glycan anchor biosynthesis, class S	Pigs
ENSMUSG00000041959	1889	3176	3328	3324	3371	4387	S100 calcium binding protein A10 (calpactin)	S100a10
ENSMUSG00000041961	109.009	37.021	98.018	77.193	113.007	148.052	zinc and ring finger 3	Znrf3
ENSMUSG00000041966	409.416	381.416	525.463	440.71	513.514	761.955	DDB1 and CUL4 associated factor 17	Dcaf17
ENSMUSG00000041974	195	181	238.001	204	299	286	scaffolding protein involved in DNA repair	Spidr
ENSMUSG00000041975	124	128.367	166.95	154.312	207.101	203.774	methyltransferase like 8	Mettl8
ENSMUSG00000041977	1792	1437.999	2069.001	1492	2764	2230.999	Rho guanine nucleotide exchange factor (GEF) 11	Arhgef11
ENSMUSG00000041984	1	0	0	1	0	2	repetin	Rptn
ENSMUSG00000041986	31	11	34.001	24	28	23	ELMO/CED-12 domain containing 1	Elmod1
ENSMUSG00000041991	0	0	0	0	0	0	hornerin	Hrnr
ENSMUSG00000041992	447.001	240.512	472	258	596	548.999	Rap guanine nucleotide exchange factor (GEF) 5	Rapgef5
ENSMUSG00000041995	131	165	205	208	211	351	zinc finger, BED type containing 3	Zbed3
ENSMUSG00000041997	984	689	1029	953	1307	1592	tousled-like kinase 1	Tlk1
ENSMUSG00000042002	0	0	0	0	0	0	forkhead box N4	Foxn4
ENSMUSG00000042010	489	165	554	253	568	528	acetyl-Coenzyme A carboxylase beta	Acacb
ENSMUSG00000042015	290	314	458	383	489	487	WD repeat domain 41	Wdr41
ENSMUSG00000042029	117.11	116.158	177.068	193	282	296	non-SMC condensin II complex, subunit G2	Ncapg2
ENSMUSG00000042031	0	0	0	0	0	0	late cornified envelope 3B	Lce3b
ENSMUSG00000042032	1166.001	1306	1770	1496	1525.001	2166.001	methionine adenosyltransferase II, beta	Mat2b
ENSMUSG00000042035	673	223	762	514	1065.799	632	immunoglobulin superfamily, member 3	Igsf3
ENSMUSG00000042041	197	194	125	190	15	472	RIKEN cDNA 2010003K11 gene	2010003K11Rik
ENSMUSG00000042042	453.349	277	600	443.061	684	576	chondroitin sulfate N-acetylgalactosaminyltransferase 2	Csgalnact2
ENSMUSG00000042043	1176.504	1973.004	2128.394	2000.698	1625.879	2435.602	tubulin cofactor A	Tbca
ENSMUSG00000042045	0	0	0	0	0	0	sarcolipin	Sln
ENSMUSG00000042046	627	316	766	486	979	861	dual serine/threonine and tyrosine protein kinase	Dstyk
ENSMUSG00000042050	323	282	483	274.001	465	455.999	dynein 2 intermediate chain 1	Dync2i1
ENSMUSG00000042055	739.014	819	1015.293	821.013	1161.018	1062.325	WD repeat domain 11	Wdr11
ENSMUSG00000042063	263.001	284	390	297	400.002	383	zinc finger protein 386 (Kruppel-like)	Zfp386
ENSMUSG00000042064	2	7	4	3	16	11	myosin IIIB	Myo3b
ENSMUSG00000042066	500	446	497.999	376	387.001	382	transmembrane and coiled-coil domains 2	Tmcc2
ENSMUSG00000042073	299	303	238	437.999	99	1026	abhydrolase domain containing 14b	Abhd14b
ENSMUSG00000042078	4	3	5	4	9	5.012	SV2 related protein	Svop
ENSMUSG00000042079	6086.688	7838.691	10166.474	7422.071	9614.343	10877.645	heterogeneous nuclear ribonucleoprotein F	Hnrnpf
ENSMUSG00000042082	906.965	446.905	1193.063	688.885	1210.947	969.887	arylsulfatase B	Arsb
ENSMUSG00000042092	0	0	0	0	0	0	late cornified envelope 1C	Lce1c
ENSMUSG00000042096	54	77.063	133.026	68	51	97	D-amino acid oxidase	Dao
ENSMUSG00000042097	89	84	106	75	84	113	zinc finger protein 239	Zfp239
ENSMUSG00000042099	1372.001	1492.001	2087	1150.999	1895	1518.999	KN motif and ankyrin repeat domains 3	Kank3
ENSMUSG00000042102	100	34	178	66	33	133	dimethylglycine dehydrogenase precursor	Dmgdh
ENSMUSG00000042104	70	45.357	87.518	100.538	138.67	112.641	UDP-glucose glycoprotein glucosyltransferase 2	Uggt2
ENSMUSG00000042105	361	330	433.232	332.014	432.568	712.052	inositol polyphosphate-5-phosphatase F	Inpp5f
ENSMUSG00000042106	226	459	549	336	416	405	inka box actin regulator 1	Inka1
ENSMUSG00000042109	18	24.135	38	27	38.803	23.089	cold shock domain containing C2, RNA binding	Csdc2
ENSMUSG00000042111	690.331	845	1184	708	894.019	1201	coiled-coil domain containing 115	Ccdc115
ENSMUSG00000042115	35	6	42	27	56	48	kelch domain containing 8A	Klhdc8a
ENSMUSG00000042116	18.021	11.024	26.165	15.018	37.053	33.074	von Willebrand factor A domain containing 1	Vwa1
ENSMUSG00000042118	61.897	60.011	72.485	75.925	20.737	149.341	betaine-homocysteine methyltransferase 2	Bhmt2
ENSMUSG00000042121	787	326.001	830	474	1062.999	901	slingshot protein phosphatase 1	Ssh1
ENSMUSG00000042124	0	0	0	0	0	0	late cornified envelope 1F	Lce1f
ENSMUSG00000042129	847	488.001	1193	747	1190	1640.999	Ras association (RalGDS/AF-6) domain family member 4	Rassf4
ENSMUSG00000042133	1822.566	2029.947	2574.635	1531.497	2415.948	2421.08	peptidyl-prolyl isomerase G (cyclophilin G)	Ppig
ENSMUSG00000042138	300.001	317.999	454	338	507	451	Myb/SANT-like DNA-binding domain containing 2	Msantd2
